imdb_id,id_kaggle,runtime,original_language,overview
tt3182620,403390,103.0,en,"Set between the two World Wars and based on true historical events, Bitter Harvest conveys the untold story of the Holodomor, the genocidal famine engineered by the tyrant Joseph Stalin. The film displays a powerful tale of love, honour, rebellion and survival at a time when Ukraine was forced to adjust to the horrifying territorial ambitions of the burgeoning Soviet Union."
tt2932536,403119,89.0,en,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
tt3859980,402672,155.0,hi,"Village lad Sarman is drawn to big, bad Mohenjo Daro - and its mascot Chaani. But Chaani must wed Munja, son of Mohenjo Daro's ruler, Maham. Will Sarman find love - and more - in Mohenjo Daro?"
tt4645330,402298,109.0,en,"Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel."
tt4481414,400928,101.0,en,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
tt5592248,399019,93.0,en,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events."
tt4434004,398535,149.0,hi,"The insurgence of substance abuse among the young in the Indian state of Punjab through the stories of a rock star, a migrant laborer, a doctor and a policeman."
tt1691916,397837,98.0,en,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was."
tt4799050,397422,101.0,en,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most."
tt4353996,396616,133.0,no,"On 9 April 1940, German soldiers arrive in the city of Oslo. The King of Norway faces a choice that will change his country forever.  The King's Choice is a story about the three most dramatic days in Norway's history, the royal family's escape and King Haakon's difficult choice after Nazi Germany's invasion of Norway."
tt5700672,396535,118.0,ko,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…"
tt5442430,395992,103.0,en,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected."
tt4643432,395452,105.0,fr,"Fed up with the hectic, senseless world he lives in, Teddy decides to settle down alone in Siberia, in the midst of winter, in a hut by the shore of Lake Baikal. After an initial period of elation in front of the splendor and magic of unspoiled nature, Teddy soon finds himself confronted with the less glossy side of things : solitude, extreme cold, the necessity to find food, danger... One night Teddy gets lost in a blizzard and would be doomed to a certain death, were it not for Aleksei, a Russian convict living hidden away in the forest nearby, who rescues him in extremis. Friendship soon blossoms between the two men..."
tt5662932,393562,127.0,hi,"Set in present day Mumbai the story follows the life of a serial killer Ramanna who is inspired by an infamous serial killer from the 1960s Raman Raghav. His strange obsession with Raghavan, a young Cop keeps growing as he closely follows him without his knowledge and often creates situations where both of them come face to face."
tt2321405,393559,66.0,fr,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own."
tt4954522,393519,99.0,fr,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form."
tt2671706,393457,139.0,en,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family."
tt5091538,392142,98.0,fr,"In this WW2 epic comedy – in the vein of “La Grande Vadrouille” – our two heroes, Max and Léon, two lazy and partier pals, will try by all possible means to avoid going in the battle zone… This will lead the duo to demented and wild adventures."
tt5646136,391995,107.0,en,"In his newest film, Dinesh D’Souza will expose the secret history of the Democrats and the true motivations of Hillary."
tt4581576,390051,92.0,en,"A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake, his mind as he happens to be the air traffic controller, who fails to avert the nightmare. Rage and revenge engulfs Roman and Jake finds himself swamped with guilt and regret. Can the two make peace with the past?"
tt4572514,388399,133.0,en,"An account of Boston Police Commissioner Ed Davis's actions in the events leading up to the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists behind it."
tt4651410,384737,99.0,en,"After a botched heist, Eddie  a murderous crime boss, hunts down the seductive thief Karen who failed him. In order to win back Eddie’s trust, Karen recruits her ex-lover and premier thief Jack to steal a cargo of rare precious gems. But when the job goes down, allegiances are betrayed and lines are crossed as Jack, Karen, and Eddie face off in a fateful showdown."
tt1711525,384682,105.0,en,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand."
tt4217392,383785,130.0,zh,"Chinese archeology professor Jack teams up with beautiful Indian professor Ashmita and assistant Kyra to locate lost Magadha treasure. In a Tibetan ice cave, they find the remains of the royal army that had vanished together with the treasure, only to be ambushed by Randall, the descendent of a rebel army leader. When they free themselves, their next stop is Dubai where a diamond from the ice cave is to be auctioned. After a series of double-crosses and revelations about their past, Jack and his team travel to a mountain temple in India, using the diamond as a key to unlock the real treasure."
tt4572792,382614,105.0,en,"Naomi Watts stars as Susan, a single mother of two, working as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands in this imaginative and emotional drama."
tt4853102,382322,72.0,en,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness. Based on the graphic novel by Alan Moore and Brian Bolland."
tt4701660,381890,93.0,en,"A playboy business tycoon, Liu Xuan, purchases the Green Gulf, a wildlife reserve, for a sea reclamation project, and uses sonar technology to get rid of the sea life in the area. Unknown to him, the Green Gulf is the home of merpeople, and the sonar has caused many of them to succumb to illness or die. Xuan's business ventures in the area are threatened when he crosses paths with the mermaid, Shan, who is sent to avenge her people."
tt5320514,381374,144.0,ml,"Biju is an honest policeman who fights the injustice head-on. In his pursuit to keep things under control and clean, he encounters a series of events and cases which test his authority, honesty and integrity. With a week to his wedding, what ensues is a heartfelt story of a cop sans the cinematic hype."
tt1753383,381289,100.0,en,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.
tt4846340,381284,127.0,en,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big."
tt5653294,380111,138.0,ru,"A story about bravery, self-sacrifice and human dignity put on trial by the merciless power of nature. A young pilot is fired from military air force after disobeying an absurd order. He gets a job as a co-pilot with a civil airline. Being brutally honest and direct, he is not on best terms with his new colleagues. During a flight to Asia his crew receives a distress message from a volcanic island and makes a decision to attempt a rescue mission. Will it be a success? Will they survive the disaster? They have a single chance to find that out: by being a team and sticking up for one another."
tt4877122,378236,86.0,en,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
tt3495026,377985,142.0,hi,The story of a fan whose world completely revolves around the movie star he adores.
tt4687848,377447,124.0,zh,A railroad worker in China in 1941 leads a team of freedom fighters against the Japanese in order to get food for the poor.
tt5221584,377273,140.0,pt,"Clara, a 65-year-old widow and retired music critic, was born into a wealthy and traditional family in Recife, Brazil. She is the last resident of the Aquarius, an original two-story building, built in the 1940s, in the upper-class, seaside Boa Viagem Avenue. All the neighboring apartments have already been acquired by a company which has other plans for that plot."
tt4520364,377264,92.0,en,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.
tt4814290,377213,136.0,hi,"A grandfather, police officer and a priest join hands to investigate and find a missing child."
tt5286444,376869,122.0,hi,"Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization."
tt1619029,376866,100.0,en,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963."
tt4832640,376812,170.0,hi,A biographical drama based on the life of fictional Haryana based wrestler & mixed martial arts specialist Sultan Ali Khan.
tt1878870,376660,104.0,en,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis."
tt4651520,376659,100.0,en,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
tt5282006,376565,110.0,ru,"Returning to Saint Petersburg after a long exile, the dashing Yakovlev, a retired army officer, makes a comfortable living by winning other people's duels. An enigmatic, focused, and extremely skilled professional, he leaves a trail of dead bodies behind him as he swirls through polite society, frequently called upon to wield a pistol as a surrogate in duels at dawn. But when Yakovlev meets the naïve young Prince Tuchov and his beautiful sister, Princess Martha, the normally cold-hearted mercenary is surprised by hitherto undetected emotions. What transpires uncovers a series of revelations about his past and his present self."
tt4540710,376290,132.0,en,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.
tt3794028,376166,120.0,fr,"An adaptation of Milena Agus' eponymous novel set after WWII, ""Mal de Pierres"" (""Mal di Pietre"") spans 20 years, following the destiny of a passionate, free-spirited woman who is in a loveless marriage and falls for another man."
tt4429194,375867,92.0,en,"A woman at a crossroads traveling to Cannes along with her successful film producer husband, finds herself on a two-day road trip with his business associate. What follows is a carefree journey replete with diversions involving picturesque sites, fine food and wine, humor, wisdom and romance - reawakening Anne's senses and a new lust for life."
tt5278832,375742,92.0,pl,"Two mermaid sisters, who end up performing at a nightclub, face cruel and bloody choices when one of them falls in love with a beautiful young man."
tt4387040,375290,126.0,hi,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
tt5013056,374720,107.0,en,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II."
tt4048272,374475,162.0,de,Without warning a father comes to visit his daughter abroad. He believes that she lost her humor and therefore surprises her with a rampage of jokes.
tt4120176,374465,102.0,fr,"Nathalie teaches philosophy at a high school in Paris. She is passionate about her job and particularly enjoys passing on the pleasure of thinking. Married with two children, she divides her time between her family, former students and her very possessive mother. One day, Nathalie’s husband announces he is leaving her for another woman. With freedom thrust upon her, Nathalie must reinvent her life."
tt4936450,374458,127.0,ro,"Romeo Aldea, a physician living in a small mountain town in Transylvania, has raised his daughter Eliza with the idea that once she turns 18, she will leave to study and live abroad. His plan is close to succeeding. Eliza has won a scholarship to study psychology in the UK. She just has to pass her final exams – a formality for such a good student. On the day before her first written exam, Eliza is assaulted in an attack that could jeopardize her entire future. Now Romeo has to make a decision. There are ways of solving the situation, but none of them using the principles he, as a father, has taught his daughter."
tt2334871,373569,90.0,en,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape."
tt5082014,372297,130.0,ml,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment."
tt4991384,372226,118.0,ta,"Pandi and his friends, immigrant workers in Andhra Pradesh, are picked up by cops for a crime they never committed. And thus begins their nightmare, where they become pawns in a vicious game where the voiceless are strangled by those with power."
tt4057376,370964,110.0,ru,"In the midst of the wedding princess Miroslava is kidnapped by a dragon and carried away into his castle on the remote island. Mira left everything behind in the past - family, friends and groom. Now the only things she had were a stone cage and a mysterious young man named Arman ... but who is he and what is he doing on that island? Miroslava will know the truth too late: loving a dragon will reveal the bitter truth - love is scary."
tt5247022,370755,118.0,en,"Set in the present in Paterson, New Jersey, this is a tale about a bus driver and poet."
tt4535650,370665,158.0,hi,"The most painful goodbyes are the ones that are never said and never explained. The film is a story about Raj and Meera and their enchanting relationship that travels through years of hatred for each each other. Set in a vicious and violent environment, Raj and Meera deal with the conflict between their respective families and the repercussions of merciless violence between them. Not all love stories are destined to have happy endings. But as it is rightfully said that “every end has a new beginning” Raj and Meera’s story make us believe that love is a force more formidable than any other. It is invisible and cannot be seen or measured, yet it is powerful enough to transform you in a moment and offer you peace to overcome the most unforgettable memory of your life."
tt3640424,369885,124.0,en,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
tt4981636,369883,92.0,en,A quiet teenage artist Rafe Katchadorian has a wild imagination and is sick of middle school and the rules that have been put before him. Rafe and his best friend Leo have come up with a plan: break every rule in the school hand book and as you expect trouble follows.
tt3544112,369557,106.0,en,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
tt2392830,368942,125.0,en,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist."
tt4731008,368940,90.0,de,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe. Tuesday immediately views Crusoe as his ticket off the island to explore new lands. Likewise, Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals. It isn't always easy at first, as the animals don't speak ""human."" Slowly but surely, they all start living together in harmony, until one day, when their comfortable life is overturned by two savage cats, who wish to take control of the island. A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats)."
tt5190958,368330,162.0,mr,"Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name. Directed by Subodh Bhave, the film stars Sachin Pilgaonkar, Shankar Mahadevan, and Subodh Bhave in lead roles. The film marks the acting debut for Mahadevan and directorial debut for Bhave. The original play premiered in 1967 in Mumbai, where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists. In 2010, the play was relaunched with protagonists essayed by Rahul Deshpande, grandson of Vasantrao Deshpande and singer Mahesh Kale. The film's music is composed by Shankar–Ehsaan–Loy, and retained some of the songs from the original play composed by Jitendra Abhisheki."
tt3352390,368031,92.0,en,"Enjoying college life as a popular student, Laura shares everything with her more  than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed..."
tt4981966,368006,164.0,ta,A scientist invents a time machine but his evil twin brother is after it and will go to any lengths to get the device in his hands.
tt5071886,366080,150.0,ta,"Kabali is a 2016 Indian Tamil-language gangster-drama film written and directed by Pa. Ranjith and produced by Kalaipuli S. Thanu.] The film revolves around the gang war between Kabaleeswaran (played by Rajinikanth) and Tony Lee (portrayed by Winston Chao). Radhika Apte, Dhansika, Dinesh Ravi, Kalaiyarasan, and John Vijay also star in pivotal roles."
tt3922818,365942,121.0,en,A young man raised by scientists on Mars returns to Earth to find his father.
tt2888046,365222,105.0,cn,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand."
tt4761270,364427,106.0,ru,"Orléans is a typical provincial Russian town on the banks of a salt lake called Yarovoye. The town is 'steeped in evil'. But it isn't some great evil. This evil is of a banal and everyday type: Lida the hairdresser has indiscriminate affairs, followed by numerous abortions; Rudik the doctor enjoys an endless supply of women, thanks to his position, neglecting his paralyzed father who lives with him and hoping the old man will die soon; the local officer of the law has no qualms about committing murder; a magician from the local circus might actually be sawing women in half on stage... One day, a mysterious man appears in this quiet backwater town. He goes by the title of the Executor: at least that's what it says on his business card..."
tt3263904,363676,96.0,en,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career."
tt3595298,362136,174.0,hi,Loosely based on the novel The prince and the Pauper. Ever loving Prem is respected and loved by all and Vijay (also played by Salman Khan) is in the world of hatred and violence. They change their identities temporarily to discover the other side of the world.
tt3735246,362045,150.0,hi,"A historical account of the romance between the Maratha general, Baji Rao I and Mastani, a Muslim princess."
tt1713440,361777,123.0,es,"A tale of cheats and impostors, taking its inspiration from true facts and from one of the most intriguing characters of recent decades: the spy Francisco Paesa."
tt3593046,360203,95.0,en,A small time crook and a newly-orphaned teenage boy team up to perform a string of robberies.
tt4901756,358962,93.0,ru,"There is an ancient ritual known to humankind for more than a hundred years...According to the legend, an ominous entity known as The Queen of Spades can be summoned by drawing a door and staircase on a mirror in the darkness, and by saying her name three times. The Queen of Spades gets her energy from reflective objects; she cuts locks of hair from those asleep, and those that see her go mad or die. Four teenagers decide to call The Queen of Spades as a joke. But when one of them dies of a sudden heart attack, the group realizes they are up against something inexplicable and deadly dangerous."
tt5819280,357706,112.0,ta,"A grumpy boxing coach takes on a young, rebellious woman under his wings and starts training her for the world championship. But their biggest battle has to be fought outside the ring."
tt4501244,356305,111.0,en,A dad forms a bitter rivalry with his daughter's young rich boyfriend.
tt1412528,353569,87.0,en,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway – only to find herself seated with five fellow-unwanted guests at the dreaded Table 19."
tt1648190,353491,95.0,en,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black."
tt2568862,353070,96.0,en,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money."
tt4824302,353069,118.0,en,Intersecting stories with different moms collide on Mother's Day.
tt4667094,351819,92.0,en,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.
tt3655414,351809,96.0,es,"On a rainy morning six armed men in disguise rob a bank in Valencia .But what seemed like an easy heist quickly goes wrong with nothing unfolding as planned, and mistrust quickly builds between the two leaders of the gang."
tt4190530,351339,120.0,en,"In December 1941, Czech soldiers Jozef Gabčík and Jan Kubiš parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich."
tt1540011,351211,90.0,en,Students on a camping trip discover something sinister is lurking beyond the trees.
tt3801252,351072,137.0,ur,"Na Maloom Afraad is a story of three reckless poor struggling souls, running after their individual ambitions and desires, brought together by one incident which makes their not so simple life into a thrilling roller coaster ride of numerous ironic twist &amp; turns. The three characters run around in the chaotic city of Karachi bringing out the craziest plan to save their love, life and asses."
tt3863552,348892,163.0,hi,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.
tt4088268,348668,112.0,da,"An old note is found in a bottle in Jutland which has travelled across the ocean for a long time. The note is hard to decipher, but when the Danish investigators from Section Q receive it, the odd personalities within the section find a new angle on it and try to unveil yet another old and diabolic case even though the lead is cold."
tt4871022,347979,95.0,ru,"Max falls into the hands of a ""happy"" horoscope, which he must follow for 30 days, performing all its insane orders to obtain previously unavailable beauty and success. But one day Max's horoscope is replaced..."
tt4824308,347126,121.0,en,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all."
tt4034354,347031,97.0,en,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams."
tt3387266,347026,111.0,en,"The inspiring true story of Seretse Khama, the King of Bechuanaland (modern Botswana), and Ruth Williams, the London office worker he married in 1948 in the face of fierce opposition from their families and the British and South African governments. Seretse and Ruth defied family, Apartheid and empire - their love triumphed over every obstacle flung in their path and in so doing they transformed their nation and inspired the world."
tt3181776,346808,96.0,en,"When Alex, an infiltration expert with a secret past, accidentally reveals her identity during what should have been a routine heist, she quickly finds herself mixed up in a government conspiracy and entangled in a deadly game of cat-and-mouse with a master assassin and his team of killers.  Armed with her own set of lethal skills, Alex looks to exact revenge for her murdered friends while uncovering the truth."
tt3631112,346685,112.0,en,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds."
tt3717252,346672,91.0,en,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice."
tt2872518,345938,132.0,en,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever."
tt4682786,345920,97.0,en,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
tt4337690,343795,121.0,en,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven."
tt3393786,343611,118.0,en,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
tt4385888,342737,119.0,en,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing."
tt4139124,342521,94.0,en,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.
tt2261287,342473,89.0,en,"Set in 1879 Paris. An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
tt4679210,341895,165.0,ml,"Three stages in George's life, and three girls he encounters in each stage."
tt4465564,341174,118.0,en,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together."
tt2406566,341013,115.0,en,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
tt4306116,341007,94.0,ur,"Three Braves is the story of three extraordinary children who rise from the most unlikeliest of places and save their town from the evils plague it. Equipped with courage and super powers,11 year old Amna, Saadi and Kamil battle against the odds and stand up to injustice to restore peace and harmony in their once thriving community And live a very happy life."
tt4731136,340837,146.0,en,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem."
tt4714782,340676,105.0,fr,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
tt4550098,340666,116.0,en,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent."
tt4649416,340402,111.0,en,A dysfunctional family gathers together for their first Christmas since their mom died.
tt1661275,340101,117.0,en,A British film crew attempts to boost morale during World War II by making a propaganda film after the Blitzkrieg.
tt4287320,339988,110.0,en,"A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever."
tt4257926,339984,117.0,en,A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam.
tt2239822,339964,137.0,en,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe."
tt1469304,339846,116.0,en,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay."
tt4669986,339419,123.0,en,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court."
tt4196450,339408,120.0,en,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virgina that results in a violent retaliation from whites."
tt3890160,339403,113.0,en,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
tt4513674,339397,96.0,en,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age."
